record_id,year,product_code,product_name,regulation_name,regulation_region,compliance_status,compliance_rate_pct,non_compliance_count,corrective_action,hazardous_substance_yn,substance_name,substitution_yn,substitution_timeline,audit_yn,audit_body,next_audit_date,source_system,created_at,updated_at,updated_by
PLM-COMP-2024-001,2024,PRD-001,클라우드 인프라 서비스(Samsung Cloud Platform),RoHS 2.0 (유해물질제한지침),EU,준수,100.0,0,해당없음,N,—,—,—,Y,TÜV SÜD,2025-03-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-002,2024,PRD-001,클라우드 인프라 서비스(Samsung Cloud Platform),WEEE (폐전기전자제품지침),EU,준수,98.5,2,ITAD 절차 강화,N,—,—,—,Y,TÜV SÜD,2025-03-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-003,2024,PRD-001,클라우드 인프라 서비스(Samsung Cloud Platform),REACH (화학물질규정),EU,준수,100.0,0,해당없음,Y,Pb 솔더(서버PCB),Y,2026년 대체 완료,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-004,2024,PRD-001,클라우드 인프라 서비스(Samsung Cloud Platform),K-RoHS (전기전자제품 자원순환),한국,준수,100.0,0,해당없음,N,—,—,—,Y,한국환경공단,2025-06-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-005,2024,PRD-001,클라우드 인프라 서비스(Samsung Cloud Platform),탄소발자국 인증 (CFP),한국,일부인증,75.0,2,추가 제품 LCA 수행 중,N,—,—,—,Y,한국품질재단,2025-09-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-006,2024,PRD-001,클라우드 인프라 서비스(Samsung Cloud Platform),에너지 효율등급 (Energy Star),미국,준수,92.0,1,구형 서버 교체,N,—,—,—,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-007,2024,PRD-001,클라우드 인프라 서비스(Samsung Cloud Platform),제품환경선언(EPD),글로벌,추진중,37.5,0,2025년 주요제품 EPD 취득 목표,N,—,—,—,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-008,2024,PRD-002,물류IT 플랫폼(Cello Square),RoHS 2.0 (유해물질제한지침),EU,준수,100.0,0,해당없음,N,—,—,—,Y,TÜV SÜD,2025-03-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-009,2024,PRD-002,물류IT 플랫폼(Cello Square),WEEE (폐전기전자제품지침),EU,준수,98.5,2,ITAD 절차 강화,N,—,—,—,Y,TÜV SÜD,2025-03-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-010,2024,PRD-002,물류IT 플랫폼(Cello Square),REACH (화학물질규정),EU,준수,100.0,0,해당없음,Y,Pb 솔더(서버PCB),Y,2026년 대체 완료,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-011,2024,PRD-002,물류IT 플랫폼(Cello Square),K-RoHS (전기전자제품 자원순환),한국,준수,100.0,0,해당없음,N,—,—,—,Y,한국환경공단,2025-06-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-012,2024,PRD-002,물류IT 플랫폼(Cello Square),탄소발자국 인증 (CFP),한국,일부인증,75.0,2,추가 제품 LCA 수행 중,N,—,—,—,Y,한국품질재단,2025-09-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-013,2024,PRD-002,물류IT 플랫폼(Cello Square),에너지 효율등급 (Energy Star),미국,준수,92.0,1,구형 서버 교체,N,—,—,—,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-014,2024,PRD-002,물류IT 플랫폼(Cello Square),제품환경선언(EPD),글로벌,추진중,37.5,0,2025년 주요제품 EPD 취득 목표,N,—,—,—,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-015,2024,PRD-003,스마트팩토리 솔루션(Nexplant),RoHS 2.0 (유해물질제한지침),EU,준수,100.0,0,해당없음,N,—,—,—,Y,TÜV SÜD,2025-03-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-016,2024,PRD-003,스마트팩토리 솔루션(Nexplant),WEEE (폐전기전자제품지침),EU,준수,98.5,2,ITAD 절차 강화,N,—,—,—,Y,TÜV SÜD,2025-03-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-017,2024,PRD-003,스마트팩토리 솔루션(Nexplant),REACH (화학물질규정),EU,준수,100.0,0,해당없음,Y,Pb 솔더(서버PCB),Y,2026년 대체 완료,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-018,2024,PRD-003,스마트팩토리 솔루션(Nexplant),K-RoHS (전기전자제품 자원순환),한국,준수,100.0,0,해당없음,N,—,—,—,Y,한국환경공단,2025-06-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-019,2024,PRD-003,스마트팩토리 솔루션(Nexplant),탄소발자국 인증 (CFP),한국,일부인증,75.0,2,추가 제품 LCA 수행 중,N,—,—,—,Y,한국품질재단,2025-09-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-020,2024,PRD-003,스마트팩토리 솔루션(Nexplant),에너지 효율등급 (Energy Star),미국,준수,92.0,1,구형 서버 교체,N,—,—,—,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-021,2024,PRD-003,스마트팩토리 솔루션(Nexplant),제품환경선언(EPD),글로벌,추진중,37.5,0,2025년 주요제품 EPD 취득 목표,N,—,—,—,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-022,2024,PRD-004,ERP/SCM 솔루션,RoHS 2.0 (유해물질제한지침),EU,준수,100.0,0,해당없음,N,—,—,—,Y,TÜV SÜD,2025-03-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-023,2024,PRD-004,ERP/SCM 솔루션,WEEE (폐전기전자제품지침),EU,준수,98.5,2,ITAD 절차 강화,N,—,—,—,Y,TÜV SÜD,2025-03-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-024,2024,PRD-004,ERP/SCM 솔루션,REACH (화학물질규정),EU,준수,100.0,0,해당없음,Y,Pb 솔더(서버PCB),Y,2026년 대체 완료,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-025,2024,PRD-004,ERP/SCM 솔루션,K-RoHS (전기전자제품 자원순환),한국,준수,100.0,0,해당없음,N,—,—,—,Y,한국환경공단,2025-06-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-026,2024,PRD-004,ERP/SCM 솔루션,탄소발자국 인증 (CFP),한국,일부인증,75.0,2,추가 제품 LCA 수행 중,N,—,—,—,Y,한국품질재단,2025-09-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-027,2024,PRD-004,ERP/SCM 솔루션,에너지 효율등급 (Energy Star),미국,준수,92.0,1,구형 서버 교체,N,—,—,—,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-028,2024,PRD-004,ERP/SCM 솔루션,제품환경선언(EPD),글로벌,추진중,37.5,0,2025년 주요제품 EPD 취득 목표,N,—,—,—,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-029,2024,PRD-005,보안관제 서비스(MSS),RoHS 2.0 (유해물질제한지침),EU,준수,100.0,0,해당없음,N,—,—,—,Y,TÜV SÜD,2025-03-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-030,2024,PRD-005,보안관제 서비스(MSS),WEEE (폐전기전자제품지침),EU,준수,98.5,2,ITAD 절차 강화,N,—,—,—,Y,TÜV SÜD,2025-03-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-031,2024,PRD-005,보안관제 서비스(MSS),REACH (화학물질규정),EU,준수,100.0,0,해당없음,Y,Pb 솔더(서버PCB),Y,2026년 대체 완료,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-032,2024,PRD-005,보안관제 서비스(MSS),K-RoHS (전기전자제품 자원순환),한국,준수,100.0,0,해당없음,N,—,—,—,Y,한국환경공단,2025-06-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-033,2024,PRD-005,보안관제 서비스(MSS),탄소발자국 인증 (CFP),한국,일부인증,75.0,2,추가 제품 LCA 수행 중,N,—,—,—,Y,한국품질재단,2025-09-01,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-034,2024,PRD-005,보안관제 서비스(MSS),에너지 효율등급 (Energy Star),미국,준수,92.0,1,구형 서버 교체,N,—,—,—,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
PLM-COMP-2024-035,2024,PRD-005,보안관제 서비스(MSS),제품환경선언(EPD),글로벌,추진중,37.5,0,2025년 주요제품 EPD 취득 목표,N,—,—,—,N,내부,—,PLM,2024-03-31 09:00:00,2024-04-05 10:00:00,user_plm
