record_id,supplier_code,supplier_name,supplier_type,supplier_country,tier,year,assessment_year,category,sub_category,criterion_code,criterion_name,score,max_score,weight,weighted_score,evidence_yn,audited_yn,spend_krw,supplier_emission_tco2e,critical_issue_yn,contract_status,esg_clause_yn,source_system,synced_at,created_at,updated_at,updated_by
SRM-SE-2024-001,SUP-IT-001,삼성전자(서버·스토리지),IT장비,KR,Tier1,2024,2024,환경,탄소관리,ENV-01,온실가스 감축 목표 설정,8.8,10,0.12,1.056,Y,Y,1850000000000,45200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 14:36:00,user_005
SRM-SE-2024-002,SUP-IT-001,삼성전자(서버·스토리지),IT장비,KR,Tier1,2024,2024,환경,탄소관리,ENV-02,Scope 1/2 배출량 공개,8.7,10,0.1,0.87,Y,Y,1850000000000,45200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 12:53:00,user_005
SRM-SE-2024-003,SUP-IT-001,삼성전자(서버·스토리지),IT장비,KR,Tier1,2024,2024,환경,에너지,ENV-03,재생에너지 사용 비율,9.7,10,0.08,0.776,Y,Y,1850000000000,45200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 16:34:00,user_005
SRM-SE-2024-004,SUP-IT-001,삼성전자(서버·스토리지),IT장비,KR,Tier1,2024,2024,환경,폐기물,ENV-04,폐기물 재활용률,4.1,5,0.05,0.205,Y,Y,1850000000000,45200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 16:02:00,user_005
SRM-SE-2024-005,SUP-IT-001,삼성전자(서버·스토리지),IT장비,KR,Tier1,2024,2024,사회,산업안전,SOC-01,중대재해 발생 여부,11.5,15,0.15,1.725,Y,Y,1850000000000,45200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 12:01:00,user_005
SRM-SE-2024-006,SUP-IT-001,삼성전자(서버·스토리지),IT장비,KR,Tier1,2024,2024,사회,산업안전,SOC-02,안전보건 인증(ISO 45001) 보유,8.6,10,0.1,0.86,Y,Y,1850000000000,45200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 14:58:00,user_005
SRM-SE-2024-007,SUP-IT-001,삼성전자(서버·스토리지),IT장비,KR,Tier1,2024,2024,사회,인권,SOC-03,아동·강제노동 금지 정책,8.8,10,0.1,0.88,Y,Y,1850000000000,45200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 14:45:00,user_005
SRM-SE-2024-008,SUP-IT-001,삼성전자(서버·스토리지),IT장비,KR,Tier1,2024,2024,지배구조,공정거래,GOV-01,공정거래 자율준수 프로그램,7.9,10,0.1,0.79,Y,N,1850000000000,45200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 09:01:00,user_005
SRM-SE-2024-009,SUP-IT-001,삼성전자(서버·스토리지),IT장비,KR,Tier1,2024,2024,지배구조,정보보안,GOV-02,정보보호 인증(ISMS-P) 보유,7.8,10,0.1,0.78,Y,N,1850000000000,45200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 11:49:00,user_005
SRM-SE-2024-010,SUP-IT-001,삼성전자(서버·스토리지),IT장비,KR,Tier1,2024,2024,지배구조,윤리,GOV-03,부패방지 정책 및 교육 실시,7.7,10,0.1,0.77,Y,N,1850000000000,45200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 14:04:00,user_005
SRM-SE-2024-011,SUP-IT-002,SK하이닉스(메모리),IT부품,KR,Tier1,2024,2024,환경,탄소관리,ENV-01,온실가스 감축 목표 설정,8.0,10,0.12,0.96,Y,N,680000000000,12500,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 15:37:00,user_005
SRM-SE-2024-012,SUP-IT-002,SK하이닉스(메모리),IT부품,KR,Tier1,2024,2024,환경,탄소관리,ENV-02,Scope 1/2 배출량 공개,7.4,10,0.1,0.74,Y,N,680000000000,12500,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 14:08:00,user_005
SRM-SE-2024-013,SUP-IT-002,SK하이닉스(메모리),IT부품,KR,Tier1,2024,2024,환경,에너지,ENV-03,재생에너지 사용 비율,9.3,10,0.08,0.744,Y,N,680000000000,12500,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 15:50:00,user_005
SRM-SE-2024-014,SUP-IT-002,SK하이닉스(메모리),IT부품,KR,Tier1,2024,2024,환경,폐기물,ENV-04,폐기물 재활용률,4.3,5,0.05,0.215,Y,N,680000000000,12500,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 14:11:00,user_005
SRM-SE-2024-015,SUP-IT-002,SK하이닉스(메모리),IT부품,KR,Tier1,2024,2024,사회,산업안전,SOC-01,중대재해 발생 여부,13.1,15,0.15,1.965,Y,N,680000000000,12500,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 14:14:00,user_005
SRM-SE-2024-016,SUP-IT-002,SK하이닉스(메모리),IT부품,KR,Tier1,2024,2024,사회,산업안전,SOC-02,안전보건 인증(ISO 45001) 보유,8.6,10,0.1,0.86,Y,Y,680000000000,12500,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 15:19:00,user_005
SRM-SE-2024-017,SUP-IT-002,SK하이닉스(메모리),IT부품,KR,Tier1,2024,2024,사회,인권,SOC-03,아동·강제노동 금지 정책,8.8,10,0.1,0.88,Y,N,680000000000,12500,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 11:11:00,user_005
SRM-SE-2024-018,SUP-IT-002,SK하이닉스(메모리),IT부품,KR,Tier1,2024,2024,지배구조,공정거래,GOV-01,공정거래 자율준수 프로그램,8.8,10,0.1,0.88,Y,N,680000000000,12500,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 15:54:00,user_005
SRM-SE-2024-019,SUP-IT-002,SK하이닉스(메모리),IT부품,KR,Tier1,2024,2024,지배구조,정보보안,GOV-02,정보보호 인증(ISMS-P) 보유,9.3,10,0.1,0.93,Y,N,680000000000,12500,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 09:11:00,user_005
SRM-SE-2024-020,SUP-IT-002,SK하이닉스(메모리),IT부품,KR,Tier1,2024,2024,지배구조,윤리,GOV-03,부패방지 정책 및 교육 실시,8.5,10,0.1,0.85,Y,N,680000000000,12500,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 12:40:00,user_005
SRM-SE-2024-021,SUP-IT-003,Cisco Systems,네트워크,US,Tier1,2024,2024,환경,탄소관리,ENV-01,온실가스 감축 목표 설정,7.7,10,0.12,0.924,Y,N,520000000000,8900,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 11:21:00,user_005
SRM-SE-2024-022,SUP-IT-003,Cisco Systems,네트워크,US,Tier1,2024,2024,환경,탄소관리,ENV-02,Scope 1/2 배출량 공개,8.1,10,0.1,0.81,Y,Y,520000000000,8900,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 14:20:00,user_005
SRM-SE-2024-023,SUP-IT-003,Cisco Systems,네트워크,US,Tier1,2024,2024,환경,에너지,ENV-03,재생에너지 사용 비율,7.0,10,0.08,0.56,Y,Y,520000000000,8900,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 14:28:00,user_005
SRM-SE-2024-024,SUP-IT-003,Cisco Systems,네트워크,US,Tier1,2024,2024,환경,폐기물,ENV-04,폐기물 재활용률,3.3,5,0.05,0.165,Y,Y,520000000000,8900,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 12:44:00,user_005
SRM-SE-2024-025,SUP-IT-003,Cisco Systems,네트워크,US,Tier1,2024,2024,사회,산업안전,SOC-01,중대재해 발생 여부,10.1,15,0.15,1.515,Y,N,520000000000,8900,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 10:46:00,user_005
SRM-SE-2024-026,SUP-IT-003,Cisco Systems,네트워크,US,Tier1,2024,2024,사회,산업안전,SOC-02,안전보건 인증(ISO 45001) 보유,6.6,10,0.1,0.66,Y,N,520000000000,8900,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 16:46:00,user_005
SRM-SE-2024-027,SUP-IT-003,Cisco Systems,네트워크,US,Tier1,2024,2024,사회,인권,SOC-03,아동·강제노동 금지 정책,7.4,10,0.1,0.74,Y,Y,520000000000,8900,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 15:31:00,user_005
SRM-SE-2024-028,SUP-IT-003,Cisco Systems,네트워크,US,Tier1,2024,2024,지배구조,공정거래,GOV-01,공정거래 자율준수 프로그램,8.3,10,0.1,0.83,Y,N,520000000000,8900,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 17:24:00,user_005
SRM-SE-2024-029,SUP-IT-003,Cisco Systems,네트워크,US,Tier1,2024,2024,지배구조,정보보안,GOV-02,정보보호 인증(ISMS-P) 보유,6.8,10,0.1,0.68,Y,N,520000000000,8900,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 12:10:00,user_005
SRM-SE-2024-030,SUP-IT-003,Cisco Systems,네트워크,US,Tier1,2024,2024,지배구조,윤리,GOV-03,부패방지 정책 및 교육 실시,7.5,10,0.1,0.75,Y,Y,520000000000,8900,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 13:01:00,user_005
SRM-SE-2024-031,SUP-IT-004,Microsoft Korea,SW·클라우드,US,Tier1,2024,2024,환경,탄소관리,ENV-01,온실가스 감축 목표 설정,8.6,10,0.12,1.032,Y,Y,480000000000,3200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 10:04:00,user_005
SRM-SE-2024-032,SUP-IT-004,Microsoft Korea,SW·클라우드,US,Tier1,2024,2024,환경,탄소관리,ENV-02,Scope 1/2 배출량 공개,8.6,10,0.1,0.86,Y,Y,480000000000,3200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 15:10:00,user_005
SRM-SE-2024-033,SUP-IT-004,Microsoft Korea,SW·클라우드,US,Tier1,2024,2024,환경,에너지,ENV-03,재생에너지 사용 비율,9.5,10,0.08,0.76,Y,Y,480000000000,3200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 17:57:00,user_005
SRM-SE-2024-034,SUP-IT-004,Microsoft Korea,SW·클라우드,US,Tier1,2024,2024,환경,폐기물,ENV-04,폐기물 재활용률,5.0,5,0.05,0.25,Y,Y,480000000000,3200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 14:38:00,user_005
SRM-SE-2024-035,SUP-IT-004,Microsoft Korea,SW·클라우드,US,Tier1,2024,2024,사회,산업안전,SOC-01,중대재해 발생 여부,15.0,15,0.15,2.25,Y,N,480000000000,3200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 09:27:00,user_005
SRM-SE-2024-036,SUP-IT-004,Microsoft Korea,SW·클라우드,US,Tier1,2024,2024,사회,산업안전,SOC-02,안전보건 인증(ISO 45001) 보유,10.0,10,0.1,1.0,Y,Y,480000000000,3200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 15:10:00,user_005
SRM-SE-2024-037,SUP-IT-004,Microsoft Korea,SW·클라우드,US,Tier1,2024,2024,사회,인권,SOC-03,아동·강제노동 금지 정책,7.9,10,0.1,0.79,Y,N,480000000000,3200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 12:12:00,user_005
SRM-SE-2024-038,SUP-IT-004,Microsoft Korea,SW·클라우드,US,Tier1,2024,2024,지배구조,공정거래,GOV-01,공정거래 자율준수 프로그램,8.8,10,0.1,0.88,Y,N,480000000000,3200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 17:16:00,user_005
SRM-SE-2024-039,SUP-IT-004,Microsoft Korea,SW·클라우드,US,Tier1,2024,2024,지배구조,정보보안,GOV-02,정보보호 인증(ISMS-P) 보유,9.3,10,0.1,0.93,Y,N,480000000000,3200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 12:06:00,user_005
SRM-SE-2024-040,SUP-IT-004,Microsoft Korea,SW·클라우드,US,Tier1,2024,2024,지배구조,윤리,GOV-03,부패방지 정책 및 교육 실시,7.9,10,0.1,0.79,Y,N,480000000000,3200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 17:53:00,user_005
SRM-SE-2024-041,SUP-IT-005,(주)한국IBM,SW·서비스,US,Tier1,2024,2024,환경,탄소관리,ENV-01,온실가스 감축 목표 설정,8.0,10,0.12,0.96,Y,Y,320000000000,4800,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 09:23:00,user_005
SRM-SE-2024-042,SUP-IT-005,(주)한국IBM,SW·서비스,US,Tier1,2024,2024,환경,탄소관리,ENV-02,Scope 1/2 배출량 공개,7.0,10,0.1,0.7,Y,Y,320000000000,4800,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 10:18:00,user_005
SRM-SE-2024-043,SUP-IT-005,(주)한국IBM,SW·서비스,US,Tier1,2024,2024,환경,에너지,ENV-03,재생에너지 사용 비율,8.7,10,0.08,0.696,Y,Y,320000000000,4800,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 16:12:00,user_005
SRM-SE-2024-044,SUP-IT-005,(주)한국IBM,SW·서비스,US,Tier1,2024,2024,환경,폐기물,ENV-04,폐기물 재활용률,3.6,5,0.05,0.18,Y,Y,320000000000,4800,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 12:10:00,user_005
SRM-SE-2024-045,SUP-IT-005,(주)한국IBM,SW·서비스,US,Tier1,2024,2024,사회,산업안전,SOC-01,중대재해 발생 여부,12.4,15,0.15,1.86,Y,Y,320000000000,4800,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 16:54:00,user_005
SRM-SE-2024-046,SUP-IT-005,(주)한국IBM,SW·서비스,US,Tier1,2024,2024,사회,산업안전,SOC-02,안전보건 인증(ISO 45001) 보유,7.2,10,0.1,0.72,Y,N,320000000000,4800,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 16:31:00,user_005
SRM-SE-2024-047,SUP-IT-005,(주)한국IBM,SW·서비스,US,Tier1,2024,2024,사회,인권,SOC-03,아동·강제노동 금지 정책,8.8,10,0.1,0.88,Y,N,320000000000,4800,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 10:41:00,user_005
SRM-SE-2024-048,SUP-IT-005,(주)한국IBM,SW·서비스,US,Tier1,2024,2024,지배구조,공정거래,GOV-01,공정거래 자율준수 프로그램,8.1,10,0.1,0.81,Y,Y,320000000000,4800,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 14:56:00,user_005
SRM-SE-2024-049,SUP-IT-005,(주)한국IBM,SW·서비스,US,Tier1,2024,2024,지배구조,정보보안,GOV-02,정보보호 인증(ISMS-P) 보유,7.8,10,0.1,0.78,Y,Y,320000000000,4800,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 16:02:00,user_005
SRM-SE-2024-050,SUP-IT-005,(주)한국IBM,SW·서비스,US,Tier1,2024,2024,지배구조,윤리,GOV-03,부패방지 정책 및 교육 실시,7.5,10,0.1,0.75,Y,N,320000000000,4800,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 13:14:00,user_005
SRM-SE-2024-051,SUP-IT-006,HP Korea,IT장비,US,Tier1,2024,2024,환경,탄소관리,ENV-01,온실가스 감축 목표 설정,8.5,10,0.12,1.02,Y,N,280000000000,5100,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 09:09:00,user_005
SRM-SE-2024-052,SUP-IT-006,HP Korea,IT장비,US,Tier1,2024,2024,환경,탄소관리,ENV-02,Scope 1/2 배출량 공개,8.3,10,0.1,0.83,Y,N,280000000000,5100,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 10:05:00,user_005
SRM-SE-2024-053,SUP-IT-006,HP Korea,IT장비,US,Tier1,2024,2024,환경,에너지,ENV-03,재생에너지 사용 비율,8.1,10,0.08,0.648,Y,N,280000000000,5100,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 15:48:00,user_005
SRM-SE-2024-054,SUP-IT-006,HP Korea,IT장비,US,Tier1,2024,2024,환경,폐기물,ENV-04,폐기물 재활용률,4.0,5,0.05,0.2,Y,N,280000000000,5100,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 09:53:00,user_005
SRM-SE-2024-055,SUP-IT-006,HP Korea,IT장비,US,Tier1,2024,2024,사회,산업안전,SOC-01,중대재해 발생 여부,11.4,15,0.15,1.71,Y,N,280000000000,5100,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 15:34:00,user_005
SRM-SE-2024-056,SUP-IT-006,HP Korea,IT장비,US,Tier1,2024,2024,사회,산업안전,SOC-02,안전보건 인증(ISO 45001) 보유,8.2,10,0.1,0.82,Y,N,280000000000,5100,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 12:30:00,user_005
SRM-SE-2024-057,SUP-IT-006,HP Korea,IT장비,US,Tier1,2024,2024,사회,인권,SOC-03,아동·강제노동 금지 정책,7.4,10,0.1,0.74,Y,N,280000000000,5100,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 09:32:00,user_005
SRM-SE-2024-058,SUP-IT-006,HP Korea,IT장비,US,Tier1,2024,2024,지배구조,공정거래,GOV-01,공정거래 자율준수 프로그램,7.9,10,0.1,0.79,Y,N,280000000000,5100,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 11:07:00,user_005
SRM-SE-2024-059,SUP-IT-006,HP Korea,IT장비,US,Tier1,2024,2024,지배구조,정보보안,GOV-02,정보보호 인증(ISMS-P) 보유,8.7,10,0.1,0.87,Y,N,280000000000,5100,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 11:10:00,user_005
SRM-SE-2024-060,SUP-IT-006,HP Korea,IT장비,US,Tier1,2024,2024,지배구조,윤리,GOV-03,부패방지 정책 및 교육 실시,8.7,10,0.1,0.87,Y,Y,280000000000,5100,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 11:02:00,user_005
SRM-SE-2024-061,SUP-FC-001,(주)한국종합기술,시설관리,KR,Tier1,2024,2024,환경,탄소관리,ENV-01,온실가스 감축 목표 설정,6.8,10,0.12,0.816,Y,N,185000000000,1200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 15:12:00,user_005
SRM-SE-2024-062,SUP-FC-001,(주)한국종합기술,시설관리,KR,Tier1,2024,2024,환경,탄소관리,ENV-02,Scope 1/2 배출량 공개,7.8,10,0.1,0.78,Y,N,185000000000,1200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 11:53:00,user_005
SRM-SE-2024-063,SUP-FC-001,(주)한국종합기술,시설관리,KR,Tier1,2024,2024,환경,에너지,ENV-03,재생에너지 사용 비율,7.1,10,0.08,0.568,Y,N,185000000000,1200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 10:05:00,user_005
SRM-SE-2024-064,SUP-FC-001,(주)한국종합기술,시설관리,KR,Tier1,2024,2024,환경,폐기물,ENV-04,폐기물 재활용률,3.4,5,0.05,0.17,Y,N,185000000000,1200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 17:20:00,user_005
SRM-SE-2024-065,SUP-FC-001,(주)한국종합기술,시설관리,KR,Tier1,2024,2024,사회,산업안전,SOC-01,중대재해 발생 여부,11.3,15,0.15,1.695,Y,N,185000000000,1200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 16:58:00,user_005
SRM-SE-2024-066,SUP-FC-001,(주)한국종합기술,시설관리,KR,Tier1,2024,2024,사회,산업안전,SOC-02,안전보건 인증(ISO 45001) 보유,7.6,10,0.1,0.76,Y,N,185000000000,1200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 17:50:00,user_005
SRM-SE-2024-067,SUP-FC-001,(주)한국종합기술,시설관리,KR,Tier1,2024,2024,사회,인권,SOC-03,아동·강제노동 금지 정책,6.8,10,0.1,0.68,Y,N,185000000000,1200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 11:09:00,user_005
SRM-SE-2024-068,SUP-FC-001,(주)한국종합기술,시설관리,KR,Tier1,2024,2024,지배구조,공정거래,GOV-01,공정거래 자율준수 프로그램,7.0,10,0.1,0.7,Y,N,185000000000,1200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 10:59:00,user_005
SRM-SE-2024-069,SUP-FC-001,(주)한국종합기술,시설관리,KR,Tier1,2024,2024,지배구조,정보보안,GOV-02,정보보호 인증(ISMS-P) 보유,6.2,10,0.1,0.62,Y,Y,185000000000,1200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 13:55:00,user_005
SRM-SE-2024-070,SUP-FC-001,(주)한국종합기술,시설관리,KR,Tier1,2024,2024,지배구조,윤리,GOV-03,부패방지 정책 및 교육 실시,7.0,10,0.1,0.7,Y,N,185000000000,1200,N,활성,Y,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 15:16:00,user_005
SRM-SE-2024-071,SUP-FC-002,(주)에이스침대건설,건설·인테리어,KR,Tier2,2024,2024,환경,탄소관리,ENV-01,온실가스 감축 목표 설정,6.1,10,0.12,0.732,Y,N,92000000000,650,N,활성,N,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 16:02:00,user_005
SRM-SE-2024-072,SUP-FC-002,(주)에이스침대건설,건설·인테리어,KR,Tier2,2024,2024,환경,탄소관리,ENV-02,Scope 1/2 배출량 공개,5.8,10,0.1,0.58,N,N,92000000000,650,N,활성,N,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 11:39:00,user_005
SRM-SE-2024-073,SUP-FC-002,(주)에이스침대건설,건설·인테리어,KR,Tier2,2024,2024,환경,에너지,ENV-03,재생에너지 사용 비율,6.5,10,0.08,0.52,Y,N,92000000000,650,N,활성,N,SRM,2024-10-01 07:00:00,2024-10-01 08:00:00,2024-10-05 15:02:00,user_005
